match_id,steam_id,total_money_per_map,total_money
0,76561197960710573,69000.0,69000
0,76561197965021087,61900.0,61900
0,76561197996370184,58700.0,58700
0,76561198013243326,70500.0,70500
0,76561198016432560,70400.0,70400
0,76561198037812456,72200.0,72200
0,76561198043769572,60600.0,60600
0,76561198058500492,60200.0,60200
0,76561198114929868,70200.0,70200
0,76561198164970560,62200.0,62200
63573,76561198073183768,64875.0,129750
63573,76561198074762801,70175.0,140350
63573,76561198132026180,70025.0,140050
63573,76561198135458990,64025.0,128050
63573,76561198209342312,63925.0,127850
63573,76561198222914476,64575.0,129150
63573,76561198231549032,72875.0,145750
63573,76561198315239020,70625.0,141250
63573,76561198330512296,64125.0,128250
63573,76561198449485596,69225.0,138450
63574,76561197995221225,64825.0,129650
63574,76561198009411160,74350.0,148700
63574,76561198014798263,74100.0,148200
63574,76561198048221584,76050.0,152100
63574,76561198061763596,76600.0,153200
63574,76561198079495382,64975.0,129950
63574,76561198095207206,63675.0,127350
63574,76561198119619416,65975.0,131950
63574,76561198139312718,72450.0,144900
63574,76561198147062836,66025.0,132050
63575,76561197978835160,83525.0,167050
63575,76561197983956651,79075.0,158150
63575,76561197987713664,74825.0,149650
63575,76561197989736583,84925.0,169850
63575,76561197990682262,96200.0,96200
63575,76561198004854956,77725.0,155450
63575,76561198010511021,76625.0,153250
63575,76561198013243326,85025.0,170050
63575,76561198016432560,83275.0,166550
63575,76561198114929868,87225.0,174450
63575,76561198131369187,60650.0,60650
63576,76561198010426775,64733.333333333336,194200
63576,76561198012528425,66033.33333333333,198100
63576,76561198026620771,64166.666666666664,192500
63576,76561198038463715,65166.666666666664,195500
63576,76561198055312314,62733.333333333336,188200
63576,76561198069862260,63800.0,191400
63576,76561198107964929,64366.666666666664,193100
63576,76561198148047557,66366.66666666667,199100
63576,76561198161756624,65200.0,195600
63576,76561198328499259,65233.333333333336,195700
63577,76561197995422314,68650.0,137300
63577,76561198017982577,69900.0,139800
63577,76561198026620771,67050.0,134100
63577,76561198055312314,64100.0,128200
63577,76561198107964929,65750.0,131500
63577,76561198121528635,70650.0,141300
63577,76561198161756624,64950.0,129900
63577,76561198166157419,69800.0,139600
63577,76561198328499259,64300.0,128600
63577,76561198799702935,67700.0,135400
63578,76561197963784921,88350.0,265050
63578,76561198010426775,83583.33333333333,250750
63578,76561198012528425,83416.66666666667,250250
63578,76561198038463715,82550.0,247650
63578,76561198067523525,84150.0,252450
63578,76561198069862260,79783.33333333333,239350
63578,76561198104626893,86850.0,260550
63578,76561198148047557,82483.33333333333,247450
63578,76561198161056567,84350.0,253050
63578,76561198408199043,83916.66666666667,251750
63579,76561197963784921,67100.0,201300
63579,76561197995422314,66550.0,199650
63579,76561198017982577,66683.33333333333,200050
63579,76561198067523525,67366.66666666667,202100
63579,76561198104626893,67466.66666666667,202400
63579,76561198121528635,67183.33333333333,201550
63579,76561198161056567,68366.66666666667,205100
63579,76561198166157419,66550.0,199650
63579,76561198408199043,68200.0,204600
63579,76561198799702935,65350.0,196050
63580,76561197991047689,54900.0,109800
63580,76561198024347602,67975.0,135950
63580,76561198038447085,55250.0,110500
63580,76561198047137065,65375.0,130750
63580,76561198060490349,66975.0,133950
63580,76561198066795281,57350.0,114700
63580,76561198082467854,56750.0,113500
63580,76561198156758030,66075.0,132150
63580,76561198163665188,64925.0,129850
63580,76561198176618518,57100.0,114200
63581,76561198018591028,70116.66666666667,210350
63581,76561198034537139,70100.0,210300
63581,76561198035708913,70216.66666666667,210650
63581,76561198065008765,71283.33333333333,213850
63581,76561198067762481,69800.0,209400
63581,76561198068506849,67366.66666666667,202100
63581,76561198086803740,69266.66666666667,207800
63581,76561198137707080,68750.0,206250
63581,76561198263538499,68833.33333333333,206500
63581,76561198326172243,70716.66666666667,212150
63582,76561198018211001,79066.66666666667,237200
63582,76561198049144512,77766.66666666667,233300
63582,76561198102158293,80066.66666666667,240200
63582,76561198129793636,79633.33333333333,238900
63582,76561198130153710,77300.0,231900
63582,76561198207163345,77833.33333333333,233500
63582,76561198210710149,77200.0,231600
63582,76561198306633362,77100.0,231300
63582,76561198316213980,80433.33333333333,241300
63582,76561199084598444,76866.66666666667,230600
63583,76561197960511657,56500.0,113000
63583,76561197960710573,70250.0,140500
63583,76561198013295375,69450.0,138900
63583,76561198031890115,68000.0,136000
63583,76561198035581101,67150.0,134300
63583,76561198047876970,68950.0,137900
63583,76561198054929073,58350.0,116700
63583,76561198058382040,58000.0,116000
63583,76561198124884044,56950.0,113900
63583,76561198162661482,57700.0,115400
63584,76561198010075210,65116.666666666664,195350
63584,76561198072402396,62216.666666666664,186650
63584,76561198074388537,67416.66666666667,202250
63584,76561198091571276,63450.0,190350
63584,76561198094954668,62683.333333333336,188050
