,match_id,steam_id,total_money_per_map,total_money
19523,67158,76561197991348083,60175.0,120350
19524,67158,76561198017671061,59575.0,119150
19525,67158,76561198027839825,59025.0,118050
19526,67158,76561198029492496,64450.0,128900
19527,67158,76561198078771373,66000.0,132000
19528,67158,76561198150673360,65300.0,130600
19529,67158,76561198193174134,66500.0,133000
19530,67158,76561198355739212,63550.0,127100
19531,67159,76561197961198495,84175.0,168350
19532,67159,76561197962710908,86675.0,173350
19533,67159,76561197976197744,86725.0,173450
19534,67159,76561197991593267,80250.0,160500
19535,67159,76561198002132867,84575.0,169150
19536,67159,76561198013172503,86425.0,172850
19537,67159,76561198084607254,81550.0,163100
19538,67159,76561198107142008,79950.0,159900
19539,67159,76561198176878303,82300.0,164600
19540,67159,76561198975452660,83650.0,167300
19541,67160,76561198000968105,93800.0,281400
19542,67160,76561198006282027,93166.66666666667,279500
19543,67160,76561198018211001,92883.33333333333,278650
19544,67160,76561198048626572,91233.33333333333,273700
19545,67160,76561198048720735,91266.66666666667,273800
19546,67160,76561198102158293,93816.66666666667,281450
19547,67160,76561198129793636,92783.33333333333,278350
19548,67160,76561198130153710,90183.33333333333,270550
19549,67160,76561198155055663,94400.0,283200
19550,67160,76561198316213980,93750.0,281250
19551,67161,76561197960282565,70575.0,141150
19552,67161,76561197963694984,69075.0,138150
19553,67161,76561197980944787,72025.0,144050
19554,67161,76561197994587863,68025.0,136050
19555,67161,76561198045739761,69475.0,138950
19556,67161,76561198050250233,68375.0,136750
19557,67161,76561198071910365,67675.0,135350
19558,67161,76561198082659894,66875.0,133750
19559,67161,76561198098344244,69925.0,139850
19560,67161,76561198374154451,64975.0,129950
19561,67162,76561197994395491,86566.66666666667,259700
19562,67162,76561197997981170,84000.0,252000
19563,67162,76561198012987839,83600.0,250800
19564,67162,76561198037812456,82833.33333333333,248500
19565,67162,76561198044118796,86433.33333333333,259300
19566,67162,76561198047402862,83533.33333333333,250600
19567,67162,76561198052546265,82500.0,247500
19568,67162,76561198065448360,84466.66666666667,253400
19569,67162,76561198067348168,83666.66666666667,251000
19570,67162,76561198083485506,80466.66666666667,241400
19571,67163,76561197991234691,72533.33333333333,217600
19572,67163,76561197998926770,70266.66666666667,210800
19573,67163,76561198073117127,68000.0,204000
19574,67163,76561198092690259,72366.66666666667,217100
19575,67163,76561198120557348,71333.33333333333,214000
19576,67163,76561198138113790,71933.33333333333,215800
19577,67163,76561198152075689,73433.33333333333,220300
19578,67163,76561198158377244,69666.66666666667,209000
19579,67163,76561198215214621,72633.33333333333,217900
19580,67163,76561198260959350,71833.33333333333,215500
19581,67164,76561197983956651,88600.0,177200
19582,67164,76561197989744167,86125.0,172250
19583,67164,76561197990682262,86450.0,172900
19584,67164,76561198004854956,89100.0,178200
19585,67164,76561198005967969,81325.0,162650
19586,67164,76561198006920295,85125.0,170250
19587,67164,76561198081528911,83475.0,166950
19588,67164,76561198110563159,84500.0,169000
19589,67164,76561198113666193,85725.0,171450
19590,67164,76561198131369187,85200.0,170400
19591,67165,76561198035510513,67700.0,203100
19592,67165,76561198065294895,67433.33333333333,202300
19593,67165,76561198071291375,70900.0,212700
19594,67165,76561198079302524,57700.0,115400
19595,67165,76561198085521869,42300.0,84600
19596,67165,76561198156362373,70333.33333333333,211000
19597,67165,76561198161879817,67833.33333333333,203500
19598,67165,76561198312729649,69666.66666666667,209000
19599,67165,76561199032094061,68600.0,205800
19600,67165,76561199046478501,67733.33333333333,203200
19601,67165,76561199063068840,68500.0,205500
19602,67166,76561197968971016,52725.0,105450
19603,67166,76561198006179810,64000.0,128000
19604,67166,76561198024347602,64750.0,129500
19605,67166,76561198060490349,61800.0,123600
19606,67166,76561198093736345,52825.0,105650
19607,67166,76561198142322244,52875.0,105750
19608,67166,76561198156758030,63200.0,126400
19609,67166,76561198163665188,62650.0,125300
19610,67166,76561198195714423,52375.0,104750
19611,67166,76561198291426466,53125.0,106250
19612,67167,76561197981838389,72650.0,145300
19613,67167,76561198018591028,80350.0,160700
19614,67167,76561198047137065,75900.0,151800
19615,67167,76561198048502405,72550.0,145100
19616,67167,76561198065008765,74700.0,149400
19617,67167,76561198067762481,80600.0,161200
